31/05/2022 04:03:25 PM - INFO:conexão com o banco de dados efetuada com sucesso.
31/05/2022 04:03:25 PM - INFO:Iniciando pesquisa de nodrops
31/05/2022 04:03:34 PM - INFO:Nodrops encontrados: 2, Cancl encontrados: 2, Nodrops possiveis: 0, total de cancelamentos efetuados: 0, quantidade de transações que não foram encontradas : 0
31/05/2022 04:03:35 PM - INFO:Nodrops encontrados: 3, Cancl encontrados: 3, Nodrops possiveis: 0, total de cancelamentos efetuados: 0, quantidade de transações que não foram encontradas : 0
31/05/2022 04:03:35 PM - INFO:Nodrops encontrados: 4, Cancl encontrados: 4, Nodrops possiveis: 0, total de cancelamentos efetuados: 0, quantidade de transações que não foram encontradas : 0
31/05/2022 04:03:35 PM - INFO:Nodrops encontrados: 5, Cancl encontrados: 5, Nodrops possiveis: 0, total de cancelamentos efetuados: 0, quantidade de transações que não foram encontradas : 0
31/05/2022 04:03:35 PM - INFO:Nodrops encontrados: 6, Cancl encontrados: 6, Nodrops possiveis: 0, total de cancelamentos efetuados: 0, quantidade de transações que não foram encontradas : 0
31/05/2022 04:03:35 PM - INFO:Nodrops encontrados: 7, Cancl encontrados: 7, Nodrops possiveis: 0, total de cancelamentos efetuados: 0, quantidade de transações que não foram encontradas : 0
31/05/2022 04:03:35 PM - INFO:Nodrops encontrados: 8, Cancl encontrados: 8, Nodrops possiveis: 0, total de cancelamentos efetuados: 0, quantidade de transações que não foram encontradas : 0
31/05/2022 04:03:36 PM - INFO:Nodrops encontrados: 9, Cancl encontrados: 9, Nodrops possiveis: 0, total de cancelamentos efetuados: 0, quantidade de transações que não foram encontradas : 0
31/05/2022 04:03:36 PM - INFO:Nodrops encontrados: 10, Cancl encontrados: 10, Nodrops possiveis: 0, total de cancelamentos efetuados: 0, quantidade de transações que não foram encontradas : 0
31/05/2022 04:03:36 PM - INFO:Nodrops encontrados: 11, Cancl encontrados: 11, Nodrops possiveis: 0, total de cancelamentos efetuados: 0, quantidade de transações que não foram encontradas : 0
31/05/2022 04:03:36 PM - INFO:Nodrops encontrados: 12, Cancl encontrados: 12, Nodrops possiveis: 0, total de cancelamentos efetuados: 0, quantidade de transações que não foram encontradas : 0
31/05/2022 04:03:36 PM - INFO:Nodrops encontrados: 13, Cancl encontrados: 13, Nodrops possiveis: 0, total de cancelamentos efetuados: 0, quantidade de transações que não foram encontradas : 0
31/05/2022 04:03:36 PM - INFO:Nodrops encontrados: 14, Cancl encontrados: 14, Nodrops possiveis: 0, total de cancelamentos efetuados: 0, quantidade de transações que não foram encontradas : 0
31/05/2022 04:03:36 PM - INFO:Nodrops encontrados: 15, Cancl encontrados: 15, Nodrops possiveis: 0, total de cancelamentos efetuados: 0, quantidade de transações que não foram encontradas : 0
31/05/2022 04:03:37 PM - INFO:Nodrops encontrados: 16, Cancl encontrados: 16, Nodrops possiveis: 0, total de cancelamentos efetuados: 0, quantidade de transações que não foram encontradas : 0
31/05/2022 04:03:37 PM - INFO:Nodrops encontrados: 17, Cancl encontrados: 17, Nodrops possiveis: 0, total de cancelamentos efetuados: 0, quantidade de transações que não foram encontradas : 0
31/05/2022 04:03:37 PM - INFO:Nodrops encontrados: 18, Cancl encontrados: 18, Nodrops possiveis: 0, total de cancelamentos efetuados: 0, quantidade de transações que não foram encontradas : 0
31/05/2022 04:03:37 PM - INFO:Nodrops encontrados: 19, Cancl encontrados: 19, Nodrops possiveis: 0, total de cancelamentos efetuados: 0, quantidade de transações que não foram encontradas : 0
31/05/2022 04:03:37 PM - INFO:Nodrops encontrados: 20, Cancl encontrados: 20, Nodrops possiveis: 0, total de cancelamentos efetuados: 0, quantidade de transações que não foram encontradas : 0
31/05/2022 04:03:37 PM - INFO:Nodrops encontrados: 21, Cancl encontrados: 21, Nodrops possiveis: 0, total de cancelamentos efetuados: 0, quantidade de transações que não foram encontradas : 0
31/05/2022 04:03:38 PM - INFO:Nodrops encontrados: 22, Cancl encontrados: 22, Nodrops possiveis: 0, total de cancelamentos efetuados: 0, quantidade de transações que não foram encontradas : 0
31/05/2022 04:03:38 PM - INFO:Nodrops encontrados: 23, Cancl encontrados: 23, Nodrops possiveis: 0, total de cancelamentos efetuados: 0, quantidade de transações que não foram encontradas : 0
31/05/2022 04:03:38 PM - INFO:Nodrops encontrados: 24, Cancl encontrados: 24, Nodrops possiveis: 0, total de cancelamentos efetuados: 0, quantidade de transações que não foram encontradas : 0
31/05/2022 04:03:38 PM - INFO:Nodrops encontrados: 25, Cancl encontrados: 25, Nodrops possiveis: 0, total de cancelamentos efetuados: 0, quantidade de transações que não foram encontradas : 0
